product,contract_role,period,source_role,listing_start,provider_authoritative_start,provider_metadata_support,physical_min,target_start,target_end,boundary_status,boundary_reason
pt,dominant_main,1w,direct,2025-11-27,,absent,2025-11-28,2025-11-28,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
pt,dominant_main,30m,derived_from_1m,2025-11-27,,absent,2025-11-27,2025-11-27,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pt,dominant_main,5m,derived_from_1m,2025-11-27,,absent,2025-11-27,2025-11-27,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
pt,dominant_main,60m,derived_from_1m,2025-11-27,,absent,2025-11-27,2025-11-27,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
px,dominant_main,15m,derived_from_1m,2023-09-15,,absent,2023-09-15,2023-09-15,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
px,dominant_main,1d,derived_from_1m,2023-09-15,,absent,2023-09-15,2023-09-15,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
px,dominant_main,1d,direct,2023-09-15,,absent,2023-09-15,2023-09-15,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
px,dominant_main,1m,direct,2023-09-15,,absent,2023-09-15,2023-09-15,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
px,dominant_main,1w,direct,2023-09-15,,absent,2023-09-15,2023-09-15,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
px,dominant_main,30m,derived_from_1m,2023-09-15,,absent,2023-09-15,2023-09-15,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
px,dominant_main,5m,derived_from_1m,2023-09-15,,absent,2023-09-15,2023-09-15,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
