profile_id,product,period,quality_policy,active_binding_count,profile_eligibility,reason
intraday_research_v1,c,1d,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,cf,1m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,cf,5m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,cf,15m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,cf,30m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,cf,60m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,cf,1d,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,cj,1m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,cj,5m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,cj,15m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,cj,30m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,cj,60m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,cj,1d,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,cs,1m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,cs,5m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,cs,15m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,cs,30m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,cs,60m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,cs,1d,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,cu,1m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,cu,5m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,cu,15m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,cu,30m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,cu,60m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,cu,1d,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,cy,1m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,cy,5m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,cy,15m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,cy,30m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,cy,60m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,cy,1d,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,eb,1m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,eb,5m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,eb,15m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,eb,30m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,eb,60m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,eb,1d,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,ec,1m,passed_only,535,blocked,one_or_more_required_layers_not_passed
intraday_research_v1,ec,5m,passed_only,535,blocked,one_or_more_required_layers_not_passed
