product,contract,period,dedupe_key,final_classification,classification_source,conflicting_fields,contract_role,file_count,occurrence_count,value_ranges
l,L2609,1d,2026-06-01,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [7848.0, 7903.0], 'close': None, 'volume': [373503.0, 564744.0]}"
l,L2609,1d,2026-06-08,covered_warning,cross_file_conflict,['volume'],actual_contract,2,2,"{'open': None, 'close': None, 'volume': [470774.0, 605232.0]}"
l,L2609,1d,2026-06-15,covered_warning,cross_file_conflict,"['open', 'high', 'volume']",actual_contract,2,2,"{'open': [7820.0, 7900.0], 'close': None, 'volume': [510944.0, 689995.0]}"
l,L2609,1d,2026-06-29,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [6830.0, 6890.0], 'close': None, 'volume': [334038.0, 464204.0]}"
l,L2609,1d,2026-07-06,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [6850.0, 6882.0], 'close': None, 'volume': [256031.0, 368329.0]}"
m,M2609,1d,2026-04-13,covered_warning,cross_file_conflict,"['open', 'volume']",actual_contract,2,2,"{'open': [2981.0, 2990.0], 'close': None, 'volume': [570042.0, 923012.0]}"
m,M2609,1d,2026-04-20,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [2951.0, 2956.0], 'close': None, 'volume': [601501.0, 1100049.0]}"
m,M2609,1d,2026-04-27,covered_warning,cross_file_conflict,"['open', 'volume']",actual_contract,2,2,"{'open': [2983.0, 2984.0], 'close': None, 'volume': [564679.0, 888919.0]}"
m,M2609,1d,2026-05-11,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [3010.0, 3015.0], 'close': None, 'volume': [912725.0, 1228879.0]}"
m,M2609,1d,2026-05-18,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [2971.0, 2983.0], 'close': None, 'volume': [585013.0, 1088032.0]}"
