product,interface_name,dataset_name,start_date,end_date,expected_end,raw_files_count,raw_rows,indexed_files,indexed_rows,db_rows,status
au,get_dominant_rank2,main_contract_map,2008-01-09,2026-06-24,2026-06-24,0,0,0,0,4483,ok
au,get_ex_factor,futures_ex_factors,2008-01-09,2026-05-20,2026-06-24,0,0,0,0,53,ok
au,get_warehouse_stocks,futures_warehouse_stocks,2008-01-11,2026-06-24,2026-06-24,0,0,0,0,4342,ok
au,get_contracts,contract_universe,2024-01-02,2026-07-07,2026-06-24,270,485329,4,5744,4848,ok
au,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
au,get_dominant_price_1d,dominant_daily_baseline,2010-01-04,2026-06-24,2026-06-24,96,228151,1,3998,,ok
au,get_dominant_price_samples,market_sample,2010-01-04,2026-06-24,2026-06-24,0,0,5,2497274,,ok
ag,get_dominant_rank1,main_contract_map,2012-05-10,2026-07-07,2026-06-24,0,0,0,0,3432,ok
ag,get_dominant_rank2,main_contract_map,2012-05-10,2026-06-24,2026-06-24,0,0,0,0,3431,ok
ag,get_ex_factor,futures_ex_factors,2012-05-10,2026-05-14,2026-06-24,0,0,0,0,44,ok
ag,get_warehouse_stocks,futures_warehouse_stocks,2012-07-02,2026-06-24,2026-06-24,0,0,0,0,3395,ok
ag,get_contracts,contract_universe,2024-01-02,2026-07-07,2026-06-24,270,485329,4,8616,7272,ok
ag,get_continuous_contracts,continuous_contracts,2024-01-01,2026-07-07,2026-06-24,90,0,1,0,0,needs_rerun
ag,get_dominant_price_1d,dominant_daily_baseline,2012-05-10,2026-06-24,2026-06-24,96,228151,1,3431,,ok
ag,get_dominant_price_samples,market_sample,2012-05-10,2026-06-24,2026-06-24,0,0,5,2328308,,ok
