product,contract_type,contract_role,symbol_or_contract,period,expected_start,expected_end,actual_min,actual_max,status,gap_start,gap_end,quality_status,file_path,recommended_action,segment_contract,segment_start,segment_end
ru,main,dominant_main,ru.MAIN,1m,2000-01-04,2026-07-10,2010-01-04,2026-07-10,partial_start,2000-01-04,2010-01-03,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ru/contract=ru.MAIN/ru_MAIN_1m_20000104_20260711_v2.parquet,minute_pre2020_backfill,,,
sa,main,dominant_main,sa.MAIN,1m,2019-12-06,2026-07-10,2019-12-06,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=sa/contract=sa.MAIN/sa_MAIN_1m_20191206_20260711_v2.parquet,none,,,
sc,main,dominant_main,sc.MAIN,1m,2018-03-26,2026-07-10,2018-03-26,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=sc/contract=sc.MAIN/sc_MAIN_1m_20180326_20260711_v2.parquet,none,,,
sf,main,dominant_main,sf.MAIN,1m,2014-08-08,2026-07-10,2014-08-08,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=sf/contract=sf.MAIN/sf_MAIN_1m_20140808_20260711_v2.parquet,none,,,
sh,main,dominant_main,sh.MAIN,1m,2023-09-15,2026-07-10,2023-09-15,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=sh/contract=sh.MAIN/sh_MAIN_1m_20230103_20260712_v2.parquet,none,,,
si,main,dominant_main,si.MAIN,1m,2022-12-22,2026-07-10,2022-12-22,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=GFEX/symbol=si/contract=si.MAIN/si_MAIN_1m_20221222_20260711_v2.parquet,none,,,
sm,main,dominant_main,sm.MAIN,1m,2014-08-08,2026-07-10,2014-08-08,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=sm/contract=sm.MAIN/sm_MAIN_1m_20140808_20260711_v2.parquet,none,,,
sn,main,dominant_main,sn.MAIN,1m,2015-03-27,2026-07-10,2015-03-27,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=sn/contract=sn.MAIN/sn_MAIN_1m_20150327_20260711_v2.parquet,none,,,
sp,main,dominant_main,sp.MAIN,1m,2018-11-27,2026-07-10,2018-11-27,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=sp/contract=sp.MAIN/sp_MAIN_1m_20181127_20260711_v2.parquet,none,,,
sr,main,dominant_main,sr.MAIN,1m,2006-01-06,2026-07-10,2010-01-04,2026-07-10,partial_start,2006-01-06,2010-01-03,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=sr/contract=sr.MAIN/sr_MAIN_1m_20060106_20260711_v2.parquet,minute_pre2020_backfill,,,
ss,main,dominant_main,ss.MAIN,1m,2019-09-25,2026-07-10,2019-09-25,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ss/contract=ss.MAIN/ss_MAIN_1m_20190925_20260711_v2.parquet,none,,,
t,main,dominant_main,t.MAIN,1m,2015-03-20,2026-07-10,2015-03-20,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CFFEX/symbol=t/contract=t.MAIN/t_MAIN_1m_20150320_20260711_v2.parquet,none,,,
ta,main,dominant_main,ta.MAIN,1m,2006-12-18,2026-07-10,2010-01-04,2026-07-10,partial_start,2006-12-18,2010-01-03,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=ta/contract=ta.MAIN/ta_MAIN_1m_20061218_20260711_v2.parquet,minute_pre2020_backfill,,,
tf,main,dominant_main,tf.MAIN,1m,2013-09-06,2026-07-10,2013-09-06,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CFFEX/symbol=tf/contract=tf.MAIN/tf_MAIN_1m_20130906_20260711_v2.parquet,none,,,
