product,metadata_type,applicability,status,reason,evidence_start,evidence_end
m,trading_parameter,applicable,passed,trading_parameters_present,2008-01-16,2026-07-10
m,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
ma,asset_registration,applicable,passed,registered_contract_listing,2014-06-17,2026-07-10
ma,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
ma,contract_universe,applicable,passed,contract_universe_present,2014-06-17,2026-07-10
ma,main_contract_map,applicable,passed,rank1_mapping_present,2014-06-17,2026-06-24
ma,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
ma,trading_parameter,applicable,passed,trading_parameters_present,2014-06-17,2026-07-10
ma,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
ni,asset_registration,applicable,passed,registered_contract_listing,2015-03-27,2026-07-10
ni,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
ni,contract_universe,applicable,passed,contract_universe_present,2015-03-27,2026-07-10
ni,main_contract_map,applicable,passed,rank1_mapping_present,2015-03-27,2026-07-07
ni,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
ni,trading_parameter,applicable,passed,trading_parameters_present,2015-03-27,2026-07-10
ni,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
nr,asset_registration,applicable,passed,registered_contract_listing,2019-08-12,2026-07-10
nr,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
nr,contract_universe,applicable,passed,contract_universe_present,2019-08-12,2026-07-10
nr,main_contract_map,applicable,passed,rank1_mapping_present,2019-08-12,2026-07-07
nr,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
nr,trading_parameter,applicable,passed,trading_parameters_present,2019-08-12,2026-07-10
nr,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
oi,asset_registration,applicable,passed,registered_contract_listing,2012-07-16,2026-07-10
oi,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
oi,contract_universe,applicable,passed,contract_universe_present,2012-07-16,2026-07-10
oi,main_contract_map,applicable,passed,rank1_mapping_present,2012-07-16,2026-06-24
oi,trading_calendar,applicable,passed,calendar_covers_listing_through_audit_end,1999-01-04,2026-07-10
oi,trading_parameter,applicable,passed,trading_parameters_present,2012-07-16,2026-07-10
oi,trading_session,not_applicable,not_applicable,static_session_not_historical_reference_requirement,,
op,asset_registration,applicable,passed,registered_contract_listing,2025-09-10,2026-07-10
